keyword,lowest_page,lowest_position,lowest_display,highest_page,highest_position,highest_display,runs_found
"Best Digital SAT classes in Vallabh Vidyanagar, Anand",1,21,1st page 21st result,1,23,1st page 23rd result,2
"Best Digital SAT classes in Vesu, Surat",3,8,3rd page 8th result,3,11,3rd page 11th result,2
Best Digital SAT coaching in Himatnagar,1,15,1st page 15th result,1,25,1st page 25th result,2
"Best Digital SAT coaching in Katargam, Surat",1,2,1st page 2nd result,1,2,1st page 2nd result,1
"Best Digital SAT coaching in Manjalpur, Vadodara",2,5,2nd page 5th result,2,8,2nd page 8th result,2
Best Digital SAT coaching in Mehsana,1,7,1st page 7th result,2,10,2nd page 10th result,2
Best Digital SAT coaching in Navsari,2,8,2nd page 8th result,3,6,3rd page 6th result,2
"Best Digital SAT coaching in Odhav, Ahmedabad",1,14,1st page 14th result,1,20,1st page 20th result,2
"Best Digital SAT coaching in Parvat Patia, Surat",1,16,1st page 16th result,1,17,1st page 17th result,2
"Best Digital SAT coaching in Vesu, Surat",3,4,3rd page 4th result,3,10,3rd page 10th result,2
Best Digital SAT coaching in Visnagar,1,12,1st page 12th result,1,12,1st page 12th result,2
"Best Digital SAT tuition in Ghatlodiya, Ahmedabad",4,5,4th page 5th result,4,7,4th page 7th result,2
"Best Digital SAT tuition in Katargam, Surat",2,13,2nd page 13th result,3,11,3rd page 11th result,2
"Best Digital SAT tuition in Maninagar, Ahmedabad",4,4,4th page 4th result,5,10,5th page 10th result,2
"Best Digital SAT tuition in Odhav, Ahmedabad",1,19,1st page 19th result,1,23,1st page 23rd result,2
"Best GRE clases in Ghatlodiya, Ahmedabad",1,9,1st page 9th result,1,19,1st page 19th result,2
"Best GRE classes in Alkapuri, Vadodara",3,3,3rd page 3rd result,3,9,3rd page 9th result,2
"Best GRE classes in Bapunagar, Ahmedabad",1,15,1st page 15th result,1,15,1st page 15th result,1
Best GRE classes in Bharuch,1,33,1st page 33rd result,1,33,1st page 33rd result,1
Best GRE classes in Himatnagar,2,7,2nd page 7th result,3,3,3rd page 3rd result,2
"Best GRE classes in Katargam, Surat",1,1,1st page 1st result,4,1,4th page 1st result,2
Best GRE classes in Mehsana,3,12,3rd page 12th result,4,10,4th page 10th result,2
"Best GRE classes in Memnagar, Ahmedabad",4,12,4th page 12th result,5,2,5th page 2nd result,2
